Date,SA,Close Price
01/05/2013,0.066742368,FALSE
02/05/2013,0.088166395,FALSE
03/05/2013,0.135288683,FALSE
04/05/2013,0.136991763,TRUE
05/05/2013,0.139469487,TRUE
06/05/2013,0.067611139,FALSE
07/05/2013,0.067611139,FALSE
08/05/2013,0.10406256,TRUE
09/05/2013,0.108185068,FALSE
10/05/2013,0.07087539,TRUE
11/05/2013,0.040887613,FALSE
12/05/2013,0.054415594,FALSE
13/05/2013,0.067611139,TRUE
14/05/2013,0.067611139,FALSE
15/05/2013,0.067611139,TRUE
16/05/2013,0.085717999,TRUE
17/05/2013,0.082234107,TRUE
18/05/2013,0.058560423,FALSE
19/05/2013,0.087575422,FALSE
20/05/2013,0.11753332,FALSE
21/05/2013,0.067611139,TRUE
22/05/2013,0.067611139,TRUE
23/05/2013,0.067611139,TRUE
24/05/2013,0.133107413,TRUE
25/05/2013,0.147575399,FALSE
26/05/2013,0.129041637,TRUE
27/05/2013,0.103422316,FALSE
28/05/2013,-0.081133399,FALSE
29/05/2013,0.067611139,TRUE
30/05/2013,0.067611139,FALSE
31/05/2013,0.067611139,TRUE
01/06/2013,0.077116167,TRUE
02/06/2013,0.115721824,FALSE
03/06/2013,0.102452103,FALSE
04/06/2013,0.064021086,TRUE
05/06/2013,0.074025691,TRUE
06/06/2013,0.067611139,FALSE
07/06/2013,0.067611139,FALSE
08/06/2013,0.067611139,FALSE
09/06/2013,0.112907385,FALSE
10/06/2013,0.096706872,TRUE
11/06/2013,0.084193828,TRUE
12/06/2013,0.015267646,FALSE
13/06/2013,0.051415754,FALSE
14/06/2013,0.067611139,FALSE
15/06/2013,0.067611139,FALSE
16/06/2013,0.067611139,TRUE
17/06/2013,0.057330927,TRUE
18/06/2013,0.089832547,TRUE
19/06/2013,0.112069061,TRUE
20/06/2013,0.027365763,TRUE
21/06/2013,0.066767942,FALSE
22/06/2013,0.067611139,FALSE
23/06/2013,0.067611139,FALSE
24/06/2013,0.067611139,FALSE
25/06/2013,0.029287335,TRUE
26/06/2013,0.113093553,TRUE
27/06/2013,0.06645185,FALSE
28/06/2013,0.079479064,FALSE
29/06/2013,0.050503205,TRUE
30/06/2013,0.067611139,TRUE
01/07/2013,0.067611139,FALSE
02/07/2013,0.067611139,TRUE
03/07/2013,0.057529488,FALSE
04/07/2013,0.045784573,TRUE
05/07/2013,0.070970054,FALSE
06/07/2013,0.047259542,TRUE
07/07/2013,0.040118122,TRUE
08/07/2013,0.067611139,TRUE
09/07/2013,0.067611139,FALSE
10/07/2013,0.067611139,TRUE
11/07/2013,0.064827934,TRUE
12/07/2013,0.093407442,FALSE
13/07/2013,0.050638035,TRUE
14/07/2013,0.051928018,FALSE
15/07/2013,0.066244506,TRUE
16/07/2013,0.067611139,FALSE
17/07/2013,0.067611139,FALSE
18/07/2013,0.067611139,FALSE
19/07/2013,0.067996898,TRUE
20/07/2013,0.027085655,FALSE
21/07/2013,0.024259569,FALSE
22/07/2013,0.063012459,TRUE
23/07/2013,-0.027171756,TRUE
24/07/2013,0.067611139,TRUE
25/07/2013,0.067611139,TRUE
26/07/2013,0.067611139,TRUE
27/07/2013,0.042578316,FALSE
28/07/2013,0.067304325,TRUE
29/07/2013,0.00434833,TRUE
30/07/2013,0.043495276,TRUE
31/07/2013,0.04809723,TRUE
01/08/2013,0.067611139,FALSE
02/08/2013,0.067611139,TRUE
03/08/2013,0.067611139,FALSE
04/08/2013,0.044470774,FALSE
05/08/2013,0.062083142,TRUE
06/08/2013,0.051562503,TRUE
07/08/2013,0.0508093,FALSE
08/08/2013,0.080056591,FALSE
09/08/2013,0.067611139,FALSE
10/08/2013,0.067611139,FALSE
11/08/2013,0.067611139,TRUE
12/08/2013,0.019965565,TRUE
13/08/2013,0.010881991,TRUE
14/08/2013,0.094185823,TRUE
15/08/2013,0.070267172,FALSE
16/08/2013,0.070243267,TRUE
17/08/2013,0.067611139,TRUE
18/08/2013,0.067611139,FALSE
19/08/2013,0.067611139,TRUE
20/08/2013,0.059717713,TRUE
21/08/2013,0.050002915,TRUE
22/08/2013,0.056516938,FALSE
23/08/2013,0.087715543,FALSE
24/08/2013,0.05637937,TRUE
25/08/2013,0.067611139,TRUE
26/08/2013,0.067611139,TRUE
27/08/2013,0.067611139,TRUE
28/08/2013,0.061687628,TRUE
29/08/2013,0.066681198,FALSE
30/08/2013,0.054826203,TRUE
31/08/2013,0.100331604,TRUE
01/09/2013,0.109471169,FALSE
02/09/2013,0.067611139,FALSE
03/09/2013,0.067611139,TRUE
04/09/2013,0.067611139,FALSE
05/09/2013,0.041823419,FALSE
06/09/2013,0.053396336,FALSE
07/09/2013,0.06623018,TRUE
08/09/2013,0.053222549,FALSE
09/09/2013,0.109986605,TRUE
10/09/2013,0.067611139,TRUE
11/09/2013,0.067611139,TRUE
12/09/2013,0.067611139,TRUE
13/09/2013,0.049428366,TRUE
14/09/2013,0.039309775,FALSE
15/09/2013,0.077674007,TRUE
16/09/2013,0.073938999,TRUE
17/09/2013,0.054214517,TRUE
18/09/2013,0.067611139,TRUE
19/09/2013,0.067611139,FALSE
20/09/2013,0.067611139,FALSE
21/09/2013,0.059148661,FALSE
22/09/2013,0.056394748,TRUE
23/09/2013,0.121406761,FALSE
24/09/2013,0.074272823,TRUE
25/09/2013,0.061545353,TRUE
26/09/2013,0.067611139,TRUE
27/09/2013,0.067611139,TRUE
28/09/2013,0.067611139,TRUE
29/09/2013,0.077523817,TRUE
30/09/2013,0.074193334,FALSE
01/10/2013,0.09542222,TRUE
02/10/2013,0.002238704,FALSE
03/10/2013,0.039563469,TRUE
04/10/2013,0.067611139,TRUE
05/10/2013,0.067611139,FALSE
06/10/2013,0.067611139,TRUE
07/10/2013,0.052581528,TRUE
08/10/2013,0.06791505,TRUE
09/10/2013,0.058450829,TRUE
10/10/2013,0.045136819,FALSE
11/10/2013,0.069681232,FALSE
12/10/2013,0.067611139,TRUE
13/10/2013,0.067611139,TRUE
14/10/2013,0.067611139,TRUE
15/10/2013,0.027872892,TRUE
16/10/2013,0.038648345,FALSE
17/10/2013,0.045997835,TRUE
18/10/2013,0.061845613,TRUE
19/10/2013,0.062278171,TRUE
20/10/2013,0.067611139,TRUE
21/10/2013,0.067611139,TRUE
22/10/2013,0.067611139,TRUE
23/10/2013,0.054243941,TRUE
24/10/2013,0.059156282,FALSE
25/10/2013,0.09456115,FALSE
26/10/2013,0.08187036,FALSE
27/10/2013,0.07463381,TRUE
28/10/2013,0.067611139,TRUE
29/10/2013,0.067611139,TRUE
30/10/2013,0.067611139,FALSE
31/10/2013,0.093695845,TRUE
01/11/2013,0.059757246,TRUE
02/11/2013,0.071592942,TRUE
03/11/2013,0.068103405,TRUE
04/11/2013,0.041618169,TRUE
05/11/2013,0.067611139,TRUE
06/11/2013,0.067611139,TRUE
07/11/2013,0.067611139,TRUE
08/11/2013,0.044862083,TRUE
09/11/2013,0.045692952,TRUE
10/11/2013,0.078418737,FALSE
11/11/2013,0.074183229,TRUE
12/11/2013,0.159090909,TRUE
13/11/2013,0.067611139,TRUE
14/11/2013,0.067611139,TRUE
15/11/2013,0.067611139,FALSE
16/11/2013,0.097514602,TRUE
17/11/2013,0.082732649,TRUE
18/11/2013,0.066901105,TRUE
19/11/2013,0.034708352,FALSE
20/11/2013,0.036190184,TRUE
21/11/2013,0.067611139,TRUE
22/11/2013,0.067611139,TRUE
23/11/2013,0.067611139,TRUE
24/11/2013,0.089641657,FALSE
25/11/2013,0.053201097,TRUE
26/11/2013,0.060269811,TRUE
27/11/2013,0.087953329,TRUE
28/11/2013,0.067029766,TRUE
29/11/2013,0.067611139,TRUE
30/11/2013,0.067611139,TRUE
01/12/2013,0.067611139,FALSE
02/12/2013,0.074639028,TRUE
03/12/2013,0.080101521,TRUE
04/12/2013,0.05863916,TRUE
05/12/2013,0.054895655,FALSE
06/12/2013,0.066208391,FALSE
07/12/2013,0.067611139,FALSE
08/12/2013,0.067611139,TRUE
09/12/2013,0.067611139,TRUE
10/12/2013,0.08090541,TRUE
11/12/2013,0.070226932,FALSE
12/12/2013,0.127103341,FALSE
13/12/2013,0.042951753,TRUE
14/12/2013,0.056677784,FALSE
