Date,Close Price
02/01/2017 00:00,1018.05
03/01/2017 00:00,1030.82
04/01/2017 00:00,1129.87
05/01/2017 00:00,1005.81
06/01/2017 00:00,895.67
07/01/2017 00:00,905.17
08/01/2017 00:00,913.52
09/01/2017 00:00,899.35
10/01/2017 00:00,904.79
11/01/2017 00:00,775.98
12/01/2017 00:00,802.83
13/01/2017 00:00,826.12
14/01/2017 00:00,818.64
15/01/2017 00:00,822.42
16/01/2017 00:00,830.26
17/01/2017 00:00,904.45
18/01/2017 00:00,884.25
19/01/2017 00:00,898.02
20/01/2017 00:00,891.62
21/01/2017 00:00,920.01
22/01/2017 00:00,925.33
23/01/2017 00:00,912.69
24/01/2017 00:00,885.65
25/01/2017 00:00,894.11
26/01/2017 00:00,915.1
27/01/2017 00:00,918.56
28/01/2017 00:00,920.28
29/01/2017 00:00,914.04
30/01/2017 00:00,920.24
31/01/2017 00:00,967.67
01/02/2017 00:00,987.35
02/02/2017 00:00,1007.79
03/02/2017 00:00,1018.11
04/02/2017 00:00,1033.65
05/02/2017 00:00,1013.99
06/02/2017 00:00,1024.61
07/02/2017 00:00,1052.54
08/02/2017 00:00,1054.34
09/02/2017 00:00,988.95
10/02/2017 00:00,993.08
11/02/2017 00:00,1010
12/02/2017 00:00,999.51
13/02/2017 00:00,996.86
14/02/2017 00:00,1009.25
15/02/2017 00:00,1009.12
16/02/2017 00:00,1034.08
17/02/2017 00:00,1053.12
18/02/2017 00:00,1058.41
19/02/2017 00:00,1052.82
20/02/2017 00:00,1083.24
21/02/2017 00:00,1123.66
22/02/2017 00:00,1122.19
23/02/2017 00:00,1178.38
24/02/2017 00:00,1180.92
25/02/2017 00:00,1151.58
26/02/2017 00:00,1179.97
27/02/2017 00:00,1194.28
28/02/2017 00:00,1190.89
01/03/2017 00:00,1230.02
02/03/2017 00:00,1260.92
03/03/2017 00:00,1290.79
04/03/2017 00:00,1267.68
05/03/2017 00:00,1277.68
06/03/2017 00:00,1280.87
07/03/2017 00:00,1232.43
08/03/2017 00:00,1150.48
09/03/2017 00:00,1191.81
10/03/2017 00:00,1117.02
11/03/2017 00:00,1181.64
12/03/2017 00:00,1229.5
13/03/2017 00:00,1243.24
14/03/2017 00:00,1246.31
